# a=-400000.0 b=50 noise=2.0
0.000000000000000000e+00 5.108994219670001513e+01 2.000000000000000000e+00
9.999999999999999547e-07 3.397000568731334624e+01 2.000000000000000000e+00
1.999999999999999909e-06 2.431035342703134106e+01 2.000000000000000000e+00
3.000000000000000076e-06 1.360571740792310180e+01 2.000000000000000000e+00
3.999999999999999819e-06 9.799135188766216586e+00 2.000000000000000000e+00
4.999999999999999562e-06 8.080145998714760580e+00 2.000000000000000000e+00
6.000000000000000152e-06 7.900584036179956193e+00 2.000000000000000000e+00
6.999999999999999895e-06 3.319740091505183344e+00 2.000000000000000000e+00
7.999999999999999638e-06 1.725238526969962383e+00 2.000000000000000000e+00
9.000000000000000228e-06 3.559812946737999084e+00 2.000000000000000000e+00
9.999999999999999124e-06 3.018602369736527180e-01 2.000000000000000000e+00
1.099999999999999971e-05 3.690441275236898910e+00 2.000000000000000000e+00
1.200000000000000030e-05 1.542448460479716399e+00 2.000000000000000000e+00
1.299999999999999920e-05 2.042662087389985448e+00 2.000000000000000000e+00
1.399999999999999979e-05 -1.142404468118274785e+00 2.000000000000000000e+00
