# m=0.6 c=2.5 noise=1.0
0.000000000000000000e+00 3.235134404918506235e+00 1.000000000000000000e+00
1.000000000000000000e+00 2.765184792446781614e+00 1.000000000000000000e+00
2.000000000000000000e+00 4.660801445810651700e+00 1.000000000000000000e+00
3.000000000000000000e+00 6.330912687214544476e+00 1.000000000000000000e+00
4.000000000000000000e+00 6.194319099249625538e+00 1.000000000000000000e+00
5.000000000000000000e+00 5.139968853595736853e+00 1.000000000000000000e+00
6.000000000000000000e+00 6.179387295758435705e+00 1.000000000000000000e+00
7.000000000000000000e+00 7.574673136577354526e+00 1.000000000000000000e+00
8.000000000000000000e+00 8.270224440970672219e+00 1.000000000000000000e+00
9.000000000000000000e+00 8.010687295587745282e+00 1.000000000000000000e+00
